Variety,Cost center,Surface (Hectare),Total kg per ha,boxes per ha,Year
THOMPSON,THOMPSON 2000,9.6,38224.9278350515,3319.38144329897,2014
THOMPSON,THOMPSON 2007,3.4,21401.4117647059,1830.29411764706,2014
THOMPSON,THOMPSON 2008,3.4,12360.8235294118,1031.76470588235,2014
THOMPSON,THOMPSON 1996,9.5,15321.2916666667,1160.83333333333,2014
CRIMSON,CRIMSON  99-00,12.2,61651.6065573771,4601.72131147541,2014
CRIMSON,CRIMSON 2004,2.4,64986.1666666667,4926.25,2014
ARRA,ARRA 15 CR,2.9,0,0,2014
TIMCO,TIMCO 14 CR,4.1,0,0,2014
INIAGRAPEONE,INIAGRAPE ONE 14,1.1,0,0,2014
INIAGRAPEONE,INIAGRAPE ONE 15,3,0,0,2014
SABLE,SABLE 14,4.2,0,0,2014
SABLE,SABLE 16,1.9,0,0,2014
THOMPSON,THOMPSON 2000,9.6,50363.9793814433,3797.01030927835,2015
THOMPSON,THOMPSON 2007,3.4,58425.4705882353,4404.70588235294,2015
THOMPSON,THOMPSON 2008,3.4,50571.4117647059,3812.64705882353,2015
THOMPSON,THOMPSON 1996,9.5,52965.1666666667,3993.33333333333,2015
CRIMSON,CRIMSON  99-00,12.2,48715.5409836066,2987.37704918033,2015
CRIMSON,CRIMSON 2004,2.4,58127.0833333333,3564.58333333333,2015
ARRA,ARRA 15 CR,2.9,0,0,2015
TIMCO,TIMCO 14 CR,4.1,0,0,2015
INIAGRAPEONE,INIAGRAPE ONE 14,1.1,0,0,2015
INIAGRAPEONE,INIAGRAPE ONE 15,3,0,0,2015
SABLE,SABLE 14,4.2,0,0,2015
SABLE,SABLE 16,1.9,0,0,2015
THOMPSON,THOMPSON 2000,9.6,36897.7381117164,3072.86027000549,2016
THOMPSON,THOMPSON 2007,3.4,41733.4218760569,3723.49060229525,2016
THOMPSON,THOMPSON 2008,3.4,43396.0120538239,4075.13616680389,2016
THOMPSON,THOMPSON 1996,9.5,35357.0101394167,3000.62617542127,2016
CRIMSON,CRIMSON  99-00,12.2,40551.6957707337,3039.10524862108,2016
CRIMSON,CRIMSON 2004,2.4,45277.0557930063,3542.88820875017,2016
ARRA,ARRA 15 CR,2.9,0,0,2016
TIMCO,TIMCO 14 CR,4.1,0,0,2016
INIAGRAPEONE,INIAGRAPE ONE 14,1.1,6968.24561403509,397.368421052632,2016
INIAGRAPEONE,INIAGRAPE ONE 15,3,0,0,2016
SABLE,SABLE 14,4.2,8550.59101654846,670.212765957447,2016
SABLE,SABLE 16,1.9,0,0,2016
THOMPSON,THOMPSON 2000,9.6,37556.1240529843,3158.18033222187,2017
THOMPSON,THOMPSON 2007,3.4,35366.3961544306,2928.27451864104,2017
THOMPSON,THOMPSON 2008,3.4,41151.8046534935,3594.63528802593,2017
THOMPSON,THOMPSON 1996,9.5,32043.0048893038,2526.10037472525,2017
CRIMSON,CRIMSON  99-00,12.2,58011.7978041702,4193.80416708804,2017
CRIMSON,CRIMSON 2004,2.4,57662.2708683132,4412.52180639301,2017
ARRA,ARRA 15 CR,2.9,22310.5517241379,2048.62068965517,2017
TIMCO,TIMCO 14 CR,4.1,13509.8536585366,1275.36585365854,2017
INIAGRAPEONE,INIAGRAPE ONE 14,1.1,31768.2071031237,2810.86863500214,2017
INIAGRAPEONE,INIAGRAPE ONE 15,3,0,0,2017
SABLE,SABLE 14,4.2,21504.1134751773,2003.30969267139,2017
SABLE,SABLE 16,1.9,0,0,2017
THOMPSON,THOMPSON 2000,9.6,42209.0201385266,3763.75911491074,2018
THOMPSON,THOMPSON 2007,3.4,37818.0558368301,2980.87005011007,2018
THOMPSON,THOMPSON 2008,3.4,47094.339901664,3667.12065669042,2018
THOMPSON,THOMPSON 1996,9.5,39653.8641769946,3101.48888844021,2018
CRIMSON,CRIMSON  99-00,12.2,48920.0149331063,3945.2009547902,2018
CRIMSON,CRIMSON 2004,2.4,45584.6351038506,3786.42276422764,2018
ARRA,ARRA 15 CR,2.9,45286.1428571429,4311.72413793103,2018
TIMCO,TIMCO 14 CR,4.1,48340.1290910048,4197.33157707791,2018
INIAGRAPEONE,INIAGRAPE ONE 14,1.1,56278.9473684211,768.421052631579,2018
INIAGRAPEONE,INIAGRAPE ONE 15,3,0,0,2018
SABLE,SABLE 14,4.2,36081.6737588652,2767.6497722424,2018
SABLE,SABLE 16,1.9,0,0,2018
THOMPSON,THOMPSON 2000,9.6,31973.8020833333,3141.11153455285,2019
THOMPSON,THOMPSON 2007,3.4,27008.0882352941,2766.77499590548,2019
THOMPSON,THOMPSON 2008,3.4,30371.9117647059,3148.59085775306,2019
THOMPSON,THOMPSON 1996,9.5,27943.8421052632,2774.84210526316,2019
CRIMSON,CRIMSON  99-00,12.2,53384.9590163934,4172.8741131995,2019
CRIMSON,CRIMSON 2004,2.4,61283.5416666667,4644.81792213105,2019
ARRA,ARRA 15 CR,2.9,53118.6206896552,4813.31791421363,2019
TIMCO,TIMCO 14 CR,4.1,50073.0487804878,3984.88247042138,2019
INIAGRAPEONE,INIAGRAPE ONE 14,1.1,46748.1818181818,3265.45454545455,2019
INIAGRAPEONE,INIAGRAPE ONE 15,3,47891.3333333333,4188,2019
SABLE,SABLE 14,4.2,34794.4047619048,3300.85656213705,2019
SABLE,SABLE 16,1.9,8711.25,646.585365853659,2019
THOMPSON,THOMPSON 2000,9.6,37807.8645833333,3357.1875,2020
THOMPSON,THOMPSON 2007,3.4,38150.5882352941,3493.52941176471,2020
THOMPSON,THOMPSON 2008,3.4,34097.5,3267.94117647059,2020
THOMPSON,THOMPSON 1996,9.5,36522.8947368421,3392.10526315789,2020
CRIMSON,CRIMSON  99-00,12.2,52419.7592373489,3642.91285145281,2020
CRIMSON,CRIMSON 2004,2.4,52500.7656182423,3852.68811195008,2020
ARRA,ARRA 15 CR,2.9,44983.3536585366,3816.58116063919,2020
TIMCO,TIMCO 14 CR,4.1,74931.2195121951,3688.78048780488,2020
INIAGRAPEONE,INIAGRAPE ONE 14,1.1,24633.1818181818,2031.81818181818,2020
INIAGRAPEONE,INIAGRAPE ONE 15,3,26804.8333333333,2287.66666666667,2020
SABLE,SABLE 14,4.2,50314.7256097561,4619.32346109175,2020
SABLE,SABLE 16,1.9,40519.8267008986,2569.9486521181,2020
